"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%"
"1","Chicago Blackhawks","57","2769.3167","22","26","9","19","53","0.465","2370","2722","46.54","1751","2064","45.90","1110","1346","45.20","106","135","43.98","104.72","132.73","44.10","434","604","41.81","56","64","46.67","21.13","83.25"
"2","Florida Panthers","57","2629.8667","29","25","3","25","61","0.535","2587","2357","52.33","1859","1747","51.55","1194","1108","51.87","108","125","46.35","119.96","113.57","51.37","515","489","51.29","64","70","47.76","20.06","77.42"
"3","Pittsburgh Penguins","56","2749.1167","29","15","12","28","70","0.625","2704","2607","50.91","1969","1855","51.49","1267","1192","51.53","127","112","53.14","133.64","122.05","52.27","590","529","52.73","64","50","56.14","17.20","84.66"
"4","New York Rangers","57","2815.3167","22","29","6","20","50","0.439","2576","2741","48.45","1777","1958","47.58","1107","1263","46.71","95","112","45.89","113.86","119.19","48.86","513","485","51.40","41","51","44.57","14.24","83.28"
"5","Colorado Avalanche","55","2642.75","37","9","9","36","83","0.755","3102","2432","56.05","2194","1766","55.40","1473","1130","56.59","157","87","64.34","140.27","109.81","56.09","587","482","54.91","79","48","62.20","21.12","84.05"
"6","Los Angeles Kings","56","2704.3667","23","19","14","19","60","0.536","2767","2463","52.91","1907","1733","52.39","1199","1116","51.79","92","88","51.11","115.55","106.62","52.01","519","481","51.90","51","45","53.13","17.11","84.32"
"7","Montreal Canadiens","57","2722.4","32","17","8","30","72","0.632","2487","2598","48.91","1779","1797","49.75","1141","1157","49.65","128","116","52.46","119.94","126.65","48.64","472","548","46.27","55","61","47.41","19.03","80.76"
"8","Toronto Maple Leafs","57","2842.55","27","21","9","26","63","0.553","2512","2959","45.91","1859","2149","46.38","1214","1418","46.12","131","142","47.99","117.48","126.73","48.11","524","552","48.70","77","60","56.20","21.69","82.71"
"9","Boston Bruins","57","2703.3","32","20","5","30","69","0.605","2593","2711","48.89","1846","1916","49.07","1196","1235","49.20","127","105","54.74","113.26","130.58","46.45","481","562","46.12","59","50","54.13","20.07","85.25"
"10","Washington Capitals","59","2824.1667","29","23","7","28","65","0.551","2822","2742","50.72","2033","1938","51.20","1311","1256","51.07","131","106","55.27","140.03","132.43","51.39","618","564","52.28","74","61","54.81","18.73","82.37"
"11","Calgary Flames","56","2680.9167","23","27","6","21","52","0.464","2734","2598","51.28","1903","1842","50.81","1282","1207","51.51","92","117","44.02","115.84","117.72","49.60","503","529","48.74","41","57","41.84","13.71","83.04"
"12","Edmonton Oilers","58","2891.5333","28","22","8","28","64","0.552","2732","2683","50.45","2012","1938","50.94","1359","1220","52.69","119","134","47.04","135.3","130.86","50.83","569","555","50.62","55","69","44.35","15.54","78.90"
"13","Vegas Golden Knights","57","2859.5167","27","16","14","26","68","0.596","2687","2625","50.58","1901","1835","50.88","1271","1111","53.36","125","124","50.20","119.64","112.1","51.63","549","465","54.14","70","66","51.47","19.77","74.81"
"14","Buffalo Sabres","57","2760.6333","32","19","6","29","70","0.614","2545","2748","48.08","1880","2001","48.44","1234","1305","48.60","129","119","52.02","121.99","126.71","49.05","516","533","49.19","66","67","49.62","20.37","80.64"
"15","Detroit Red Wings","58","2818.2833","33","19","6","31","72","0.621","2706","2798","49.16","1960","1943","50.22","1264","1255","50.18","99","114","46.48","124.72","124.84","49.98","515","543","48.68","53","61","46.49","16.31","81.35"
"16","Ottawa Senators","57","2711.1833","28","22","7","25","63","0.553","2617","2321","53.00","1901","1616","54.05","1241","1064","53.84","127","119","51.63","122.04","101.79","54.52","528","445","54.27","69","62","52.67","19.88","77.86"
"17","Tampa Bay Lightning","55","2599.3","37","14","4","33","78","0.709","2538","2235","53.17","1830","1634","52.83","1151","1087","51.43","127","90","58.53","124.12","103.18","54.61","526","413","56.02","69","42","62.16","22.04","84.95"
"18","Philadelphia Flyers","56","2716.7833","25","20","11","20","61","0.545","2302","2492","48.02","1677","1752","48.91","1081","1080","50.02","110","114","49.11","110.94","110.34","50.14","514","459","52.83","49","52","48.51","16.23","80.08"
"19","New York Islanders","58","2789.45","32","21","5","28","69","0.595","2524","2721","48.12","1847","1935","48.84","1195","1239","49.10","107","102","51.20","116.7","136.65","46.06","480","604","44.28","47","50","48.45","16.26","86.56"
"20","New Jersey Devils","57","2844.5167","28","27","2","25","58","0.509","2771","2673","50.90","1973","1908","50.84","1300","1263","50.72","89","126","41.40","121.1","125.96","49.02","503","548","47.86","43","68","38.74","14.01","79.82"
"21","Carolina Hurricanes","57","2767.8333","36","15","6","32","78","0.684","3215","2185","59.54","2283","1641","58.18","1419","1072","56.97","125","106","54.11","144.41","116.24","55.41","604","502","54.61","59","59","50.00","16.12","80.91"
"22","Minnesota Wild","58","2849.8167","34","14","10","30","78","0.672","2713","2997","47.51","1972","2132","48.05","1278","1377","48.14","117","109","51.77","129.22","129.16","50.01","559","569","49.56","61","61","50.00","18.05","82.52"
"23","St Louis Blues","57","2805.05","20","28","9","19","49","0.430","2400","2652","47.51","1732","1895","47.75","1144","1233","48.13","105","136","43.57","112.34","119.73","48.41","482","510","48.59","45","71","38.79","14.95","77.46"
"24","Columbus Blue Jackets","56","2751.15","29","20","7","24","65","0.580","2795","2730","50.59","1987","1988","49.99","1303","1297","50.12","123","115","51.68","127.52","123.26","50.85","534","502","51.54","56","48","53.85","17.72","85.14"
"25","Nashville Predators","57","2734.95","26","24","7","23","59","0.518","2732","2518","52.04","1936","1898","50.50","1244","1293","49.03","104","133","43.88","130.57","118.02","52.53","588","492","54.44","59","68","46.46","16.48","79.52"
"26","Dallas Stars","57","2757.45","34","14","9","30","77","0.675","2232","2583","46.36","1598","1806","46.94","1094","1173","48.26","118","99","54.38","116.57","116.56","50.00","509","484","51.26","62","48","56.36","19.02","83.84"
"27","Winnipeg Jets","56","2718.5167","22","26","8","21","52","0.464","2420","2600","48.21","1756","1882","48.27","1128","1238","47.68","112","113","49.78","110.93","123.4","47.34","493","541","47.68","56","61","47.86","19.86","80.94"
"28","Utah Mammoth","57","2744.8167","30","23","4","30","64","0.561","2730","2412","53.09","1949","1711","53.25","1255","1114","52.98","132","107","55.23","131.89","113.67","53.71","576","504","53.33","59","52","53.15","16.08","82.25"
"29","Vancouver Canucks","57","2744.2167","18","33","6","14","42","0.368","2546","2768","47.91","1848","2045","47.47","1137","1325","46.18","93","129","41.89","115.92","132.62","46.64","506","595","45.96","49","64","43.36","16.44","83.25"
"30","San Jose Sharks","55","2600.1833","27","24","4","25","58","0.527","2170","2685","44.70","1508","1937","43.77","1023","1287","44.29","108","125","46.35","99.94","125.47","44.34","476","545","46.62","65","62","51.18","20.31","81.92"
"31","Anaheim Ducks","56","2690.2","30","23","3","24","63","0.563","2869","2655","51.94","2070","1902","52.11","1288","1242","50.91","116","131","46.96","129.17","125.05","50.81","547","546","50.05","56","66","45.90","18.12","80.65"
"32","Seattle Kraken","56","2754.1833","27","20","9","26","63","0.563","2371","2858","45.34","1695","2028","45.53","1085","1285","45.78","101","90","52.88","101.46","127.36","44.34","412","562","42.30","48","43","52.75","18.97","85.95"
