"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%"
"1","New Jersey Devils","82","4026.0667","42","33","7","40","91","0.555","3949","3748","51.31","2732","2705","50.25","1755","1715","50.58","149","152","49.50","169.1","160.01","51.38","715","678","51.33","70","77","47.62","16.59","81.40"
"2","Buffalo Sabres","82","3946.5667","36","39","7","32","79","0.482","3828","3866","49.75","2738","2805","49.40","1749","1821","48.99","185","184","50.14","161.38","174.98","47.98","670","759","46.89","84","103","44.92","21.82","77.71"
"3","St Louis Blues","82","4119.0833","44","30","8","40","96","0.585","3669","3901","48.47","2569","2699","48.77","1775","1790","49.79","175","147","54.35","154.12","158.67","49.27","666","659","50.26","82","78","51.25","19.29","80.60"
"4","Seattle Kraken","82","4027.1","35","41","6","33","76","0.463","3841","4179","47.89","2769","2973","48.22","1764","1872","48.51","168","183","47.86","153.28","178.4","46.21","647","753","46.21","74","90","45.12","19.73","80.48"
"5","Boston Bruins","82","3998.15","33","39","10","33","76","0.463","3600","3944","47.72","2521","2798","47.40","1653","1814","47.68","152","164","48.10","154.33","167.47","47.96","632","701","47.41","84","76","52.50","21.11","81.99"
"6","Florida Panthers","82","3954.1667","47","31","4","41","98","0.598","4263","3415","55.52","3051","2532","54.65","1986","1653","54.58","153","139","52.40","180.52","146.88","55.14","730","643","53.17","77","72","51.68","16.08","82.44"
"7","Chicago Blackhawks","82","4116.7833","25","46","11","23","61","0.372","3351","4249","44.09","2397","3089","43.69","1633","2056","44.27","150","207","42.02","144.05","190.75","43.03","600","840","41.67","72","106","40.45","18.05","80.59"
"8","Utah Hockey Club","82","3991.2833","38","31","13","37","89","0.543","4182","3675","53.23","2967","2590","53.39","1899","1726","52.39","158","150","51.30","184.98","159.32","53.73","740","621","54.37","78","75","50.98","16.02","80.77"
"9","Toronto Maple Leafs","82","4008.0667","52","26","4","51","108","0.659","3694","4103","47.38","2670","2877","48.13","1792","1845","49.27","169","136","55.41","159.04","168.75","48.52","700","682","50.65","90","67","57.32","19.69","83.50"
"10","Montreal Canadiens","82","3956.5167","40","31","11","38","91","0.555","3692","4082","47.49","2566","2850","47.38","1657","1820","47.66","158","181","46.61","167.89","189.11","47.03","677","805","45.68","65","92","41.40","15.82","80.91"
"11","New York Rangers","82","4023.0833","39","36","7","38","85","0.518","3887","4068","48.86","2812","2945","48.84","1831","1966","48.22","180","172","51.14","170.36","184.76","47.97","721","818","46.85","82","92","47.13","17.71","82.74"
"12","Pittsburgh Penguins","82","4064.7667","34","36","12","33","80","0.488","4063","3951","50.70","2868","2885","49.85","1851","1931","48.94","157","195","44.60","178.8","178.84","49.99","775","779","49.87","89","95","48.37","18.66","81.59"
"13","Winnipeg Jets","82","4106.1167","56","22","4","54","116","0.707","3958","3940","50.11","2886","2807","50.69","1859","1794","50.89","170","119","58.82","175.52","159.18","52.44","787","674","53.87","95","57","62.50","19.83","85.79"
"14","Edmonton Oilers","82","4071.0167","48","29","5","48","101","0.616","4262","3619","54.08","3072","2585","54.30","2113","1768","54.44","168","171","49.56","192.77","161.63","54.39","817","645","55.88","92","82","52.87","17.62","79.19"
"15","Calgary Flames","82","4007.65","41","27","14","36","96","0.585","4211","3927","51.74","2912","2743","51.49","1924","1851","50.97","140","142","49.65","162.61","162.04","50.09","682","712","48.92","69","76","47.59","16.27","82.77"
"16","Vancouver Canucks","82","3988.3833","38","30","14","35","90","0.549","3634","3771","49.07","2535","2688","48.54","1621","1695","48.88","151","162","48.24","152.81","155.8","49.52","634","682","48.18","75","76","49.67","19.08","81.23"
"17","Colorado Avalanche","82","4019.2667","49","29","4","45","102","0.622","4240","3596","54.11","2938","2511","53.92","1925","1668","53.58","165","155","51.56","171.32","155.66","52.40","735","683","51.83","78","92","45.88","17.14","78.70"
"18","Vegas Golden Knights","82","4228.2667","50","22","10","49","110","0.671","4193","4000","51.18","3035","2828","51.77","2038","1780","53.38","184","155","54.28","186.4","168.4","52.54","794","715","52.62","96","79","54.86","19.67","80.78"
"19","Los Angeles Kings","82","4022.9167","48","25","9","47","105","0.640","4151","3644","53.25","2958","2537","53.83","1864","1633","53.30","177","125","58.61","173.4","145.61","54.36","782","624","55.62","92","63","59.35","20.49","83.80"
"20","Ottawa Senators","82","3916.3333","45","30","7","44","97","0.591","3819","3807","50.08","2715","2667","50.45","1825","1809","50.22","139","157","46.96","154.15","157.97","49.39","661","664","49.89","70","81","46.36","16.43","81.55"
"21","Detroit Red Wings","82","4094.65","39","35","8","36","86","0.524","3737","4050","47.99","2670","2897","47.96","1746","1880","48.15","143","162","46.89","163.91","175.79","48.25","654","756","46.38","70","81","46.36","16.87","81.84"
"22","New York Islanders","82","4091.1667","35","35","12","33","82","0.500","4079","4090","49.93","2922","2852","50.61","1903","1850","50.71","162","161","50.15","176.09","170.09","50.87","767","751","50.53","89","80","52.66","19.18","82.65"
"23","Dallas Stars","82","3976.6","50","26","6","48","106","0.646","3879","3951","49.54","2703","2880","48.41","1798","1898","48.65","181","155","53.87","177.42","176.67","50.11","768","728","51.34","104","92","53.06","20.68","79.19"
"24","Nashville Predators","82","3968.2833","30","44","8","28","68","0.415","3890","3798","50.60","2738","2751","49.88","1833","1876","49.42","130","190","40.63","168.84","166.95","50.28","747","719","50.95","74","78","48.68","16.70","82.97"
"25","Columbus Blue Jackets","82","4114.65","40","33","9","34","89","0.543","4009","4241","48.59","2847","2984","48.83","1913","1946","49.57","201","179","52.89","178.23","186.14","48.91","759","796","48.81","105","84","55.56","20.87","83.82"
"26","Minnesota Wild","82","4094.6833","45","30","7","42","97","0.591","3788","4142","47.77","2707","2900","48.28","1792","1894","48.62","141","148","48.79","153.8","157.84","49.35","667","657","50.38","58","77","42.96","14.32","81.53"
"27","San Jose Sharks","82","3979.55","20","50","12","18","52","0.317","3635","4346","45.55","2563","3062","45.56","1724","2028","45.95","143","203","41.33","147.63","188.23","43.96","633","791","44.45","57","90","38.78","15.16","82.18"
