"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%"
"1","San Jose Sharks","82","3993","22","44","16","21","60","0.366","3710","3923","48.60","2706","2890","48.36","1914","2059","48.18","168","220","43.30","184.11","184.36","49.97","858","809","51.47","91","113","44.61","15.69","79.79"
"2","Nashville Predators","82","3896.7","42","32","8","36","92","0.561","3593","3985","47.41","2613","2952","46.95","1839","2086","46.85","146","153","48.83","168","186.61","47.38","756","819","48.00","83","80","50.92","16.18","85.96"
"3","Tampa Bay Lightning","82","3916.0833","46","30","6","43","98","0.598","3804","3590","51.45","2834","2700","51.21","1991","1992","49.99","175","162","51.93","182.25","171.88","51.46","853","756","53.01","104","77","57.46","17.63","86.18"
"4","New York Rangers","82","4028.2167","47","22","13","43","107","0.652","3669","3698","49.80","2726","2701","50.23","1967","1940","50.35","180","153","54.05","171.13","176.48","49.23","789","823","48.95","100","83","54.64","18.55","85.62"
"5","Vegas Golden Knights","82","4120.8333","51","22","9","46","111","0.677","3858","4155","48.15","2811","2922","49.03","2053","2053","50.00","185","159","53.78","181.01","174.16","50.96","836","738","53.11","105","81","56.45","17.68","84.36"
"6","Los Angeles Kings","82","3925.2","47","25","10","41","104","0.634","3845","3502","52.33","2880","2479","53.74","2075","1717","54.72","169","159","51.52","170.4","154.75","52.41","764","695","52.36","87","86","50.29","15.65","81.70"
"7","Boston Bruins","82","3849.6833","65","12","5","61","135","0.823","3690","3519","51.19","2789","2598","51.77","2056","1861","52.49","199","114","63.58","178.14","156.34","53.26","825","702","54.03","104","63","62.28","17.33","87.37"
"8","Washington Capitals","82","3986.4833","35","37","10","33","80","0.488","3839","3873","49.78","2808","2861","49.53","2008","2004","50.05","173","182","48.73","177.72","179.38","49.77","788","798","49.68","99","97","50.51","17.87","82.30"
"9","Columbus Blue Jackets","82","4035.1","25","48","9","24","59","0.360","3589","4401","44.92","2620","3264","44.53","1864","2333","44.41","143","231","38.24","160.28","202.48","44.18","681","887","43.43","68","124","35.42","14.38","80.10"
"10","Carolina Hurricanes","82","3938.2833","52","21","9","48","113","0.689","4450","2920","60.38","3333","2242","59.78","2243","1621","58.05","174","139","55.59","207.72","138.61","59.98","967","670","59.07","102","72","58.62","15.62","84.84"
"11","Toronto Maple Leafs","82","3944.3833","50","21","11","49","111","0.677","3764","3606","51.07","2849","2637","51.93","2047","1858","52.42","184","142","56.44","190.8","165.58","53.54","914","767","54.37","103","69","59.88","16.09","86.81"
"12","Montreal Canadiens","82","3947.7167","31","45","6","26","68","0.415","3359","4022","45.51","2432","2903","45.59","1769","2095","45.78","162","200","44.75","152.52","196.28","43.73","657","899","42.22","80","126","38.83","17.62","79.84"
"13","Chicago Blackhawks","82","4039.25","26","49","7","24","59","0.360","3223","4119","43.90","2411","3062","44.05","1717","2225","43.56","135","208","39.36","143","193.15","42.54","612","868","41.35","74","109","40.44","17.58","82.56"
"14","Colorado Avalanche","82","3943.15","51","24","7","45","109","0.665","3941","3610","52.19","2837","2685","51.38","2119","1997","51.48","174","145","54.55","172.49","161.56","51.64","749","756","49.77","94","80","54.02","17.18","85.19"
"15","Seattle Kraken","82","4003.2833","46","28","8","46","100","0.610","3846","3445","52.75","2891","2518","53.45","2021","1724","53.97","209","160","56.64","172.22","160.55","51.75","704","719","49.47","98","95","50.78","19.96","79.96"
"16","Anaheim Ducks","82","3992.5","23","47","12","20","58","0.354","3300","4433","42.67","2464","3444","41.71","1801","2537","41.52","143","224","38.96","150.64","226.64","39.93","673","1055","38.95","73","129","36.14","15.08","83.59"
"17","Vancouver Canucks","82","3975.6667","38","37","7","32","83","0.506","3378","3715","47.62","2516","2774","47.56","1846","1987","48.16","169","192","46.81","159.04","178.66","47.10","737","811","47.61","100","109","47.85","18.55","81.11"
"18","Edmonton Oilers","82","3940.2167","50","23","9","50","109","0.665","3803","3472","52.27","2842","2660","51.65","2090","1961","51.59","191","168","53.20","193.5","167.06","53.67","903","698","56.40","101","89","53.16","15.63","82.24"
"19","Arizona Coyotes","82","3874.1667","28","40","14","25","70","0.427","3150","3830","45.13","2348","2898","44.76","1661","2089","44.29","151","180","45.62","144.06","179.33","44.55","641","819","43.90","83","99","45.60","18.82","82.78"
"20","Pittsburgh Penguins","82","3922.35","40","31","11","39","91","0.555","4115","3777","52.14","3062","2802","52.22","2207","2055","51.78","168","172","49.41","202.72","173.26","53.92","931","800","53.78","102","100","50.50","15.77","82.76"
"21","New Jersey Devils","82","4039.7333","52","22","8","50","112","0.683","4298","3643","54.12","3153","2653","54.31","2270","1839","55.24","197","154","56.13","206.52","162.32","55.99","893","678","56.84","109","87","55.61","16.85","80.67"
"22","Philadelphia Flyers","82","4007.1","31","38","13","29","75","0.457","3602","3997","47.40","2707","2851","48.70","1945","2012","49.15","152","174","46.63","162.13","176.73","47.84","733","804","47.69","88","87","50.29","17.67","83.77"
"23","Ottawa Senators","82","3770.5333","39","35","8","37","86","0.524","3815","3588","51.53","2842","2619","52.04","2016","1899","51.49","151","177","46.04","176.39","165.37","51.61","799","739","51.95","86","96","47.25","15.78","80.76"
"24","Buffalo Sabres","82","3999.6333","42","33","7","39","91","0.555","3801","3600","51.36","2874","2834","50.35","2091","2109","49.79","197","204","49.13","182.99","187.83","49.35","791","881","47.31","104","111","48.37","18.77","82.66"
"25","Florida Panthers","82","3801.7333","42","32","8","40","92","0.561","4149","3487","54.33","3094","2695","53.45","2258","1938","53.81","191","159","54.57","199.07","170.97","53.80","939","809","53.72","109","78","58.29","16.49","86.29"
"26","New York Islanders","82","4023.1","42","31","9","41","93","0.567","3912","3952","49.75","2836","2895","49.49","2016","2011","50.06","176","145","54.83","180.41","183.39","49.59","852","848","50.12","90","83","52.02","15.36","85.81"
"27","Dallas Stars","82","3956.55","47","21","14","43","108","0.659","3884","3633","51.67","2789","2704","50.77","1983","1910","50.94","175","145","54.69","175.84","160.8","52.23","824","709","53.75","100","81","55.25","17.48","83.73"
"28","Minnesota Wild","82","3918.55","46","25","11","39","103","0.628","3678","3757","49.47","2721","2720","50.01","1872","1971","48.71","144","139","50.88","160.75","160.78","50.00","709","677","51.15","82","75","52.23","16.70","84.85"
"29","Calgary Flames","82","3917.7833","38","27","17","36","93","0.567","4348","3228","57.39","3213","2421","57.03","2290","1702","57.36","182","169","51.85","195.91","157.24","55.48","810","700","53.64","97","93","51.05","16.75","80.98"
"30","Detroit Red Wings","82","3918.3","35","37","10","32","80","0.488","3236","3794","46.03","2400","2750","46.60","1725","1930","47.20","146","183","44.38","145.09","169.16","46.17","631","799","44.13","69","92","42.86","14.84","82.90"
"31","Winnipeg Jets","82","3916.2833","46","33","3","45","95","0.579","3780","3550","51.57","2814","2668","51.33","1922","1935","49.83","158","147","51.80","180.92","169.37","51.65","825","745","52.55","86","84","50.59","16.07","83.40"
"32","St Louis Blues","82","4034.6667","37","38","7","34","81","0.494","3357","3962","45.87","2549","2962","46.25","1875","2101","47.16","180","188","48.91","157.17","193.88","44.77","673","839","44.51","89","112","44.28","17.69","81.05"
