"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%"
"1","Pittsburgh Penguins","82","4030","46","25","11","43","103","0.628","3905","3598","52.05","3031","2697","52.92","2257","2047","52.44","180","154","53.89","178.82","156.01","53.41","806","683","54.13","108","98","52.43","16.74","81.85"
"2","Tampa Bay Lightning","81","3870.4667","50","23","8","48","108","0.667","3550","3426","50.89","2736","2616","51.12","1929","1894","50.46","183","148","55.29","168.55","153.06","52.41","789","679","53.75","99","92","51.83","17.84","81.78"
"3","Seattle Kraken","82","4011.1667","27","49","6","24","60","0.366","3537","3455","50.59","2634","2622","50.11","1883","1879","50.05","152","188","44.71","144.55","154.18","48.39","653","682","48.91","77","106","42.08","15.91","78.76"
"4","Vegas Golden Knights","82","4076.3333","43","31","8","39","94","0.573","4147","3742","52.57","3100","2664","53.78","2279","1955","53.83","184","166","52.57","187.02","168.36","52.63","847","779","52.09","102","94","52.04","16.59","83.15"
"5","Montreal Canadiens","82","3928.1333","22","49","11","19","55","0.335","3422","3871","46.92","2532","2927","46.38","1902","2167","46.74","154","195","44.13","155.42","183.32","45.88","702","842","45.47","72","122","37.11","14.55","80.10"
"6","Toronto Maple Leafs","81","3979.4","54","20","7","51","115","0.710","4074","3533","53.56","3070","2711","53.10","2232","1993","52.83","208","182","53.33","190.58","154.43","55.24","880","693","55.94","112","107","51.14","17.58","78.77"
"7","New York Rangers","82","4040.7333","52","24","6","48","110","0.671","3322","3741","47.03","2514","2796","47.34","1841","2002","47.91","158","148","51.63","151.6","170.27","47.10","719","783","47.87","92","89","50.83","17.26","84.16"
"8","Washington Capitals","82","3979.1","44","26","12","39","100","0.610","3671","3591","50.55","2807","2654","51.40","1995","1878","51.51","179","157","53.27","161.88","157.44","50.69","696","699","49.89","88","89","49.72","18.57","81.98"
"9","Chicago Blackhawks","82","4001.4667","28","42","12","22","68","0.415","3347","3932","45.98","2436","2865","45.95","1822","2135","46.04","143","192","42.69","138.68","165.72","45.56","586","675","46.47","72","101","41.62","16.07","80.35"
"10","Colorado Avalanche","82","3904.3833","56","19","7","52","119","0.726","4007","3572","52.87","2925","2710","51.91","2215","2038","52.08","198","153","56.41","167.99","154.35","52.12","733","731","50.07","103","84","55.08","18.73","84.36"
"11","Vancouver Canucks","82","4003.1333","40","30","12","37","92","0.561","3746","3770","49.84","2791","2794","49.97","2034","2050","49.80","156","143","52.17","161.68","167.59","49.10","665","761","46.63","82","81","50.31","17.26","85.59"
"12","Edmonton Oilers","82","3984.3667","49","27","6","44","104","0.634","3948","3577","52.47","2934","2754","51.58","2161","2050","51.32","181","173","51.13","178.23","165.61","51.84","792","725","52.21","110","92","54.46","18.68","82.90"
"13","Buffalo Sabres","82","4060.85","32","39","11","29","75","0.457","3426","3638","48.50","2626","2900","47.52","1962","2159","47.61","158","200","44.13","147.33","171.63","46.19","669","788","45.92","81","109","42.63","16.40","81.56"
"14","Ottawa Senators","82","3959.2667","33","42","7","30","73","0.445","3552","3866","47.88","2670","2888","48.04","1916","2114","47.54","147","175","45.65","154.97","175.36","46.91","692","763","47.56","79","95","45.40","16.32","82.79"
"15","Detroit Red Wings","82","4007.6667","32","40","10","29","74","0.451","3327","3885","46.13","2508","2994","45.58","1905","2214","46.25","159","203","43.92","156.17","180.62","46.37","685","874","43.94","85","110","43.59","16.22","82.57"
"16","Florida Panthers","82","3923.4","58","18","6","55","122","0.744","4300","3330","56.36","3224","2527","56.06","2437","1912","56.04","218","161","57.52","206.63","162.85","55.92","935","759","55.19","127","86","59.62","17.52","84.86"
"17","Dallas Stars","82","3996.6833","46","30","6","41","98","0.598","3623","3769","49.01","2708","2794","49.22","1933","2011","49.01","147","159","48.04","166.77","160.88","50.90","813","705","53.56","101","82","55.19","17.57","84.32"
"18","New York Islanders","82","4031.7","37","35","10","35","84","0.512","3398","3983","46.04","2537","2960","46.15","1869","2154","46.46","159","160","49.84","159.46","178.09","47.24","725","787","47.95","87","86","50.29","15.90","85.62"
"19","Carolina Hurricanes","82","3894.7833","54","20","8","53","116","0.707","4116","3205","56.22","3169","2510","55.80","2209","1812","54.94","193","141","57.78","198.42","162.1","55.04","897","709","55.85","116","87","57.14","19.21","83.49"
"20","Arizona Coyotes","82","4016.1833","25","50","7","24","57","0.348","3179","4045","44.01","2392","3110","43.48","1695","2282","42.62","157","221","41.53","141.61","188.75","42.87","648","854","43.14","88","115","43.35","18.92","81.83"
"21","Columbus Blue Jackets","82","4000.3167","37","38","7","33","81","0.494","3630","3971","47.76","2721","3108","46.68","1946","2348","45.32","177","214","45.27","156.43","189.69","45.19","639","839","43.23","95","110","46.34","19.92","82.97"
"22","Nashville Predators","82","3858.9667","45","30","7","41","97","0.591","3493","3534","49.71","2670","2671","49.99","1877","1952","49.02","165","156","51.40","150.51","149.87","50.11","644","611","51.31","100","84","54.35","21.05","82.13"
"23","Winnipeg Jets","82","3980.1167","39","32","11","37","89","0.543","3701","3786","49.43","2832","2885","49.54","2045","2101","49.32","156","162","49.06","177.46","178.51","49.85","773","841","47.89","90","96","48.39","16.10","83.67"
"24","Anaheim Ducks","82","4035.9667","31","37","14","27","76","0.463","3551","3877","47.81","2699","2942","47.85","1937","2099","47.99","154","186","45.29","161.89","177.81","47.66","727","778","48.31","92","95","49.20","16.61","83.30"
"25","Los Angeles Kings","82","3978.2833","44","27","11","40","99","0.604","4014","3398","54.16","3083","2525","54.98","2223","1811","55.11","155","152","50.49","182.39","161.82","52.99","794","749","51.46","97","91","51.60","17.17","83.24"
"26","New Jersey Devils","82","4040.8833","27","46","9","24","63","0.384","3865","3784","50.53","2933","2911","50.19","2112","2098","50.17","181","216","45.59","175.08","166.75","51.22","780","662","54.09","109","108","50.23","19.22","78.14"
"27","Philadelphia Flyers","82","3958.7333","25","46","11","24","61","0.372","3499","4007","46.62","2632","3004","46.70","1973","2188","47.42","159","189","45.69","155.74","178.93","46.54","660","785","45.67","89","104","46.11","17.84","82.10"
"28","Minnesota Wild","82","3850.7667","53","22","7","48","113","0.689","3626","3482","51.01","2745","2623","51.14","2036","1915","51.53","207","150","57.98","157.22","136.23","53.58","694","602","53.55","101","86","54.01","19.06","80.59"
"29","Boston Bruins","82","3900.4667","51","26","5","49","107","0.652","3864","3227","54.49","3080","2447","55.73","2369","1756","57.43","172","144","54.43","173.15","130.55","57.01","727","562","56.40","97","79","55.11","17.17","80.92"
"30","St Louis Blues","82","3992.4167","49","22","11","47","109","0.665","3343","3757","47.08","2578","2963","46.53","1909","2111","47.49","199","170","53.93","162.45","181.48","47.23","675","775","46.55","102","79","56.35","19.81","85.77"
"31","Calgary Flames","82","3972.7167","50","21","11","48","111","0.677","4194","3351","55.59","3205","2594","55.27","2300","1863","55.25","196","139","58.51","185.01","151.14","55.04","784","622","55.76","94","75","55.62","15.96","84.01"
"32","San Jose Sharks","82","4015.5833","32","37","13","29","77","0.470","3449","4116","45.59","2607","2957","46.85","1872","2081","47.36","142","179","44.24","153.62","173.54","46.96","717","747","48.98","77","91","45.83","15.07","81.84"
